time,open,high,low,close
2025-02-03 20:22:00,191.759,191.782,191.724,191.757
2025-02-03 20:23:00,191.755,191.758,191.716,191.716
2025-02-03 20:24:00,191.713,191.739,191.684,191.739
2025-02-03 20:25:00,191.739,191.756,191.73,191.749
2025-02-03 20:26:00,191.75,191.765,191.737,191.753
2025-02-03 20:27:00,191.75,191.767,191.74,191.754
2025-02-03 20:28:00,191.752,191.778,191.729,191.77
2025-02-03 20:29:00,191.766,191.794,191.757,191.792
2025-02-03 20:30:00,191.796,191.798,191.757,191.76
2025-02-03 20:31:00,191.753,191.761,191.73,191.759
2025-02-03 20:32:00,191.754,191.818,191.748,191.813
2025-02-03 20:33:00,191.812,191.812,191.776,191.79
2025-02-03 20:34:00,191.789,191.797,191.772,191.796
2025-02-03 20:35:00,191.794,191.818,191.779,191.812
2025-02-03 20:36:00,191.813,191.857,191.802,191.813
2025-02-03 20:37:00,191.812,191.89,191.797,191.879
2025-02-03 20:38:00,191.878,191.92,191.867,191.914
2025-02-03 20:39:00,191.92,191.92,191.87,191.913
2025-02-03 20:40:00,191.914,191.93,191.883,191.916
2025-02-03 20:41:00,191.912,191.924,191.887,191.908
2025-02-03 20:42:00,191.908,191.92,191.878,191.885
2025-02-03 20:43:00,191.88,191.896,191.869,191.889
2025-02-03 20:44:00,191.89,191.915,191.884,191.888
2025-02-03 20:45:00,191.892,191.894,191.855,191.892
2025-02-03 20:46:00,191.893,191.956,191.881,191.955
2025-02-03 20:47:00,191.956,191.964,191.938,191.96
2025-02-03 20:48:00,191.962,192.0,191.953,191.996
2025-02-03 20:49:00,192.001,192.002,191.961,191.979
2025-02-03 20:50:00,191.979,192.016,191.972,192.006
2025-02-03 20:51:00,192.01,192.039,192.01,192.014
2025-02-03 20:52:00,192.015,192.056,192.015,192.055
2025-02-03 20:53:00,192.052,192.065,192.03,192.03
2025-02-03 20:54:00,192.033,192.066,192.033,192.043
2025-02-03 20:55:00,192.043,192.077,192.036,192.073
2025-02-03 20:56:00,192.083,192.086,192.056,192.072
2025-02-03 20:57:00,192.068,192.081,192.041,192.041
2025-02-03 20:58:00,192.032,192.053,192.025,192.047
2025-02-03 20:59:00,192.049,192.049,192.016,192.017
2025-02-03 21:00:00,192.017,192.04,191.967,191.98
2025-02-03 21:01:00,191.981,192.013,191.975,191.997
2025-02-03 21:02:00,192.013,192.047,192.013,192.025
2025-02-03 21:03:00,192.023,192.045,192.004,192.008
2025-02-03 21:04:00,192.012,192.016,191.991,191.994
2025-02-03 21:05:00,191.994,192.029,191.99,192.027
2025-02-03 21:06:00,192.026,192.048,192.026,192.036
2025-02-03 21:07:00,192.038,192.048,192.031,192.034
